iter	Passed	Remaining
459	797	936
460	798	934
461	800	931
462	801	929
463	802	927
464	804	925
465	805	923
466	807	921
467	808	918
468	809	916
469	810	914
470	812	912
471	814	910
472	815	908
473	816	906
474	818	904
475	819	902
476	820	899
477	821	897
478	823	895
479	824	892
480	825	890
481	827	888
482	828	887
483	830	885
484	831	882
485	832	880
486	833	878
487	835	876
488	836	874
489	837	871
490	839	869
491	840	867
492	841	865
493	843	863
494	844	861
495	845	859
496	846	857
497	848	854
498	849	852
499	850	850
500	851	848
501	852	845
502	854	843
503	855	841
504	856	839
505	858	837
506	859	835
507	860	833
508	862	831
509	863	829
510	864	827
511	865	825
512	866	823
513	868	820
514	869	818
515	870	816
516	872	814
517	873	812
518	874	810
519	875	808
520	877	806
521	878	804
522	879	802
523	880	799
524	881	797
525	883	796
526	884	794
527	886	792
528	887	790
529	888	788
530	890	786
531	891	784
532	892	782
533	893	780
534	895	778
535	896	776
536	898	774
537	899	772
538	900	770
539	901	768
540	903	766
541	904	764
542	905	762
543	907	760
544	908	758
545	909	756
546	911	754
547	912	752
548	913	750
549	915	748
550	916	746
551	917	745
552	919	743
553	920	741
554	922	739
555	923	737
556	924	735
557	926	733
558	928	732
559	929	730
560	931	728
561	932	726
562	933	724
563	935	723
564	937	721
565	938	719
566	940	717
567	941	716
568	942	714
569	944	712
570	945	710
571	947	708
572	948	707
573	950	705
574	951	703
575	953	701
576	955	700
577	956	698
578	957	696
579	959	694
580	960	692
581	962	690
582	963	689
583	964	687
584	966	685
585	967	683
586	968	681
587	970	679
588	971	677
589	972	675
590	974	674
591	975	672
592	976	670
593	978	668
594	979	666
595	980	664
596	982	663
597	983	661
598	985	659
599	986	657
600	987	655
601	989	654
602	990	652
603	992	650
604	994	649
605	996	647
606	997	646
607	999	644
608	1001	642
609	1002	640
610	1003	639
611	1005	637
612	1007	635
613	1008	634
614	1010	632
615	1011	630
616	1013	628
617	1014	627
618	1016	625
619	1017	623
620	1018	621
621	1020	619
622	1022	618
623	1023	616
624	1025	615
625	1026	613
626	1027	611
627	1029	609
628	1030	607
629	1032	606
630	1033	604
631	1034	602
632	1036	601
633	1038	599
634	1040	597
635	1041	596
636	1043	594
637	1044	592
638	1046	591
639	1047	589
640	1049	587
641	1051	586
642	1052	584
643	1054	582
644	1055	581
645	1056	579
646	1058	577
647	1059	575
648	1060	573
649	1062	571
650	1063	570
651	1065	568
652	1066	566
653	1068	565
654	1069	563
655	1071	561
656	1072	560
657	1074	558
658	1075	556
659	1077	555
660	1078	553
661	1080	551
662	1081	549
663	1083	548
664	1084	546
665	1086	544
666	1087	542
667	1088	540
668	1089	539
669	1091	537
670	1092	535
671	1093	533
672	1095	532
673	1096	530
674	1098	528
675	1099	526
676	1100	525
677	1101	523
678	1103	521
679	1104	519
680	1105	517
681	1106	516
682	1108	514
683	1109	512
684	1111	511
685	1112	509
686	1114	507
687	1115	505
688	1116	504
689	1118	502
690	1119	500
691	1121	498
692	1122	497
693	1123	495
694	1124	493
695	1126	491
696	1127	490
697	1128	488
698	1129	486
699	1131	484
700	1132	482
701	1133	481
702	1134	479
703	1135	477
704	1137	475
705	1138	473
706	1139	472
707	1140	470
708	1142	468
709	1143	467
710	1144	465
711	1145	463
712	1147	461
713	1148	459
714	1149	458
715	1150	456
716	1152	454
717	1153	452
718	1154	451
719	1156	449
720	1157	447
721	1158	446
722	1159	444
723	1161	442
724	1162	440
725	1163	439
726	1165	437
727	1166	435
728	1167	434
729	1169	432
730	1170	430
731	1171	428
732	1172	427
733	1174	425
734	1175	423
735	1176	422
736	1178	420
737	1179	418
738	1180	417
739	1182	415
740	1183	413
741	1184	411
742	1185	410
743	1187	408
744	1188	406
745	1189	405
746	1190	403
747	1192	401
748	1193	399
749	1194	398
750	1195	396
751	1197	394
752	1198	393
753	1199	391
754	1200	389
755	1201	387
756	1203	386
757	1204	384
758	1205	382
759	1207	381
760	1208	379
761	1209	377
762	1210	376
763	1212	374
764	1213	372
765	1214	371
766	1216	369
767	1217	367
768	1218	366
769	1220	364
770	1221	362
771	1222	361
772	1223	359
773	1224	357
774	1226	356
775	1227	354
776	1229	352
777	1230	351
778	1231	349
779	1232	347
780	1234	346
781	1235	344
782	1237	342
783	1238	341
784	1239	339
785	1240	337
786	1241	336
787	1243	334
788	1244	332
789	1245	331
790	1247	329
791	1248	327
792	1249	326
793	1250	324
794	1252	322
795	1253	321
796	1254	319
797	1255	317
798	1256	316
799	1257	314
800	1259	312
801	1260	311
802	1261	309
803	1263	307
804	1264	306
805	1265	304
806	1266	303
807	1268	301
808	1269	299
809	1270	298
810	1272	296
811	1273	294
812	1274	293
813	1276	291
814	1277	290
815	1278	288
816	1280	286
817	1281	285
818	1282	283
819	1283	281
820	1284	280
821	1286	278
822	1287	276
823	1288	275
824	1289	273
825	1291	271
826	1292	270
827	1293	268
828	1294	267
829	1296	265
830	1297	263
831	1298	262
832	1299	260
833	1301	258
834	1302	257
835	1303	255
836	1304	254
837	1306	252
838	1307	250
839	1308	249
840	1309	247
841	1311	246
842	1312	244
843	1313	242
844	1314	241
845	1315	239
846	1317	237
847	1318	236
848	1319	234
849	1320	233
850	1322	231
851	1323	229
852	1324	228
853	1325	226
854	1326	225
855	1328	223
856	1329	221
857	1330	220
858	1332	218
859	1333	217
860	1335	215
861	1336	213
862	1337	212
863	1338	210
864	1340	209
865	1341	207
866	1342	205
867	1343	204
868	1344	202
869	1346	201
870	1347	199
871	1348	197
872	1349	196
873	1351	194
874	1352	193
875	1353	191
876	1354	190
877	1355	188
878	1357	186
879	1358	185
880	1359	183
881	1360	182
882	1362	180
883	1363	178
884	1364	177
885	1365	175
886	1367	174
887	1368	172
888	1369	171
889	1371	169
890	1372	167
891	1373	166
892	1374	164
893	1376	163
894	1377	161
895	1378	160
896	1380	158
897	1381	156
898	1382	155
899	1383	153
900	1384	152
901	1386	150
902	1387	149
903	1388	147
904	1390	145
905	1391	144
906	1392	142
907	1394	141
908	1395	139
909	1396	138
910	1398	136
911	1399	135
912	1400	133
913	1401	131
914	1403	130
915	1404	128
916	1405	127
917	1407	125
918	1408	124
919	1409	122
920	1411	121
921	1412	119
922	1413	117
923	1415	116
924	1416	114
925	1417	113
926	1419	111
927	1420	110
928	1421	108
929	1423	107
930	1424	105
931	1425	104
932	1426	102
933	1428	100
934	1429	99
935	1430	97
936	1431	96
937	1432	94
938	1434	93
939	1435	91
940	1436	90
941	1437	88
942	1439	86
943	1440	85
944	1441	83
945	1442	82
946	1444	80
947	1445	79
948	1446	77
949	1447	76
950	1449	74
951	1450	73
952	1451	71
953	1452	70
954	1454	68
955	1455	66
956	1456	65
957	1458	63
958	1459	62
959	1460	60
960	1461	59
961	1463	57
962	1464	56
963	1465	54
964	1466	53
965	1467	51
966	1469	50
967	1470	48
968	1471	47
969	1473	45
970	1474	44
971	1475	42
972	1477	40
973	1478	39
974	1480	37
975	1481	36
976	1482	34
977	1484	33
978	1485	31
979	1486	30
980	1488	28
981	1489	27
982	1490	25
983	1491	24
984	1492	22
985	1493	21
986	1495	19
987	1496	18
988	1497	16
989	1499	15
990	1500	13
991	1501	12
992	1502	10
993	1504	9
994	1505	7
995	1506	6
996	1507	4
997	1508	3
998	1510	1
999	1512	0
